published,directory,view,version,entry_id,text_ocr,ner_xml,persons,activity,act_new,location,cardinality,nb_activities,nb_persons,nb_loc,nb_card,overall_score,geometry
1879,DidotBottin_1879,503,v2:2022-06-20,8320330,"Mercier, cartes géographiques, quai Mala-
quais, 23.","<PER>Mercier</PER><ACT>, cartes géographiques</ACT>, <LOC>quai Mala- quais</LOC>, <CARDINAL>23</CARDINAL>.",Mercier,", cartes géographiques",", cartes geographiques",quai Mala- quais,23,1,1,1,1,"NA",POINT EMPTY
1891,DidotBottin_1891a,466,v2:2022-06-20,8321184,"Forest, entoucur de cartes grographiques
Segujer,","<PER>Forest</PER>, <ACT>entoucur de cartes grographiques</ACT> <LOC>Segujer</LOC>,",Forest,entoucur de cartes grographiques,entoucur de cartes grographiques,Segujer,NA,1,1,1,0,0.71208,POINT (651737.4 6861802)
1882,DidotBottin_1882a,431,v2:2022-06-20,8323328,"Hild NCI et Finet, fabr. de cartes en feuilles et
photographiques, Dussoubs, 36; usíne, Vinai-
griers, 36 et 40.","<PER>Hild NCI et Finet</PER><ACT>, fabr. de cartes en feuilles et photographiques</ACT><LOC>, Dussoubs</LOC>, <CARDINAL>36</CARDINAL>; usíne<LOC>, Vinai- griers</LOC>, <CARDINAL>36</CARDINAL> et <CARDINAL>40</CARDINAL>.",Hild NCI et Finet,", fabr. de cartes en feuilles et photographiques",", fabr. de cartes en feuilles et photographiques","c("", Dussoubs"", "", Vinai- griers"")","c(""36"", ""36"", ""40"")",1,1,2,3,"0.91, 1","MULTIPOINT ((652267.6 6863146), (653153.3 6863878))"
1851,Didot_1851a,379,v2:2022-06-20,8323570,"Rogissart frères, fabr. de cartes-porcelaines,
Charonne, 47.
Rogissé (G.), fab. de boutons, St-Honoré, 123.
Rognetta, médecin, St-Lazare, 68.
Rognon, fournitures de chapellerie, Rambu-
R
R
R
R","<PER>Rogissart frères</PER><ACT>, fabr. de cartes-porcelaines</ACT>, <LOC>Charonne</LOC>, <CARDINAL>47</CARDINAL>. <PER>Rogissé (G.),</PER> <ACT>fab. de boutons</ACT>, <LOC>St-Honoré</LOC>, <CARDINAL>123</CARDINAL>. <PER>Rogne</PER>tta, <ACT>médecin</ACT>, <LOC>St-Lazare</LOC>, <CARDINAL>68</CARDINAL>. <PER>Rognon</PER><ACT>, fournitures de chapellerie</ACT>, <LOC>Rambu- R</LOC> R R R","c(""Rogissart frères"", ""Rogissé (G.),"", ""Rogne"", ""Rognon"")","c("", fabr. de cartes-porcelaines"", ""fab. de boutons"", ""médecin"", "", fournitures de chapellerie"")","c("", fabr. de cartes-porcelaines"", ""fab. de boutons"", ""medecin"", "", fournitures de chapellerie"")","c(""Charonne"", ""St-Honoré"", ""St-Lazare"", ""Rambu- R"")","c(""47"", ""123"", ""68"")",4,4,4,3,"1, 0.769296, 0.6952, 0.289089","MULTIPOINT ((649371.9 6863891), (650982.2 6864260), (652195.5 6862672), (654316.5 6861662))"
1845,Didot_1845a,479,v2:2022-06-20,8324229,"Gosselin i, archiviste du dépôt des plans des
fortifications, Université, 84.","<PER>Gosselin</PER> <TITRE>i</TITRE><ACT>, archiviste du dépôt des plans des fortifications</ACT><LOC>, Université</LOC>, <CARDINAL>84</CARDINAL>.",Gosselin,", archiviste du dépôt des plans des fortifications",", archiviste du depot des plans des fortifications",", Université",84,1,1,1,1,0.817,POINT (650402 6862337)
1880,DidotBottin_1880a,181,v2:2022-06-20,8326556,"Bonneaud (G.) fabr. de papier fantaisie et
cartes en feuilles, passage Dauphine, 26.","<PER>Bonneaud (G.)</PER> <ACT>fabr. de papier fantaisie et cartes en feuilles</ACT>, <LOC>passage Dauphine</LOC>, <CARDINAL>26</CARDINAL>.",Bonneaud (G.),fabr. de papier fantaisie et cartes en feuilles,fabr. de papier fantaisie et cartes en feuilles,passage Dauphine,26,1,1,1,1,1,POINT (651424.4 6861846)
1896,DidotBottin_1896a,468,v2:2022-06-20,8326720,"Germiquet (A.). papiers en gros et manuſ
de cartes, r. du Temple, 48.","<PER>Germiquet (A.).</PER> <ACT>papiers en gros et manuſ de cartes</ACT>, <LOC>r. du Temple</LOC>, <CARDINAL>48</CARDINAL>.",Germiquet (A.).,papiers en gros et manuſ de cartes,papiers en gros et manus de cartes,r. du Temple,48,1,1,1,1,"NA",POINT EMPTY
1854,Didot_1854a,333,v2:2022-06-20,8328127,"Lhuillier, fab. de cartes en feuilles, Nve-St-
Merry, 13.","<PER>Lhuillier</PER><ACT>, fab. de cartes en feuilles</ACT>, <LOC>Nve-St- Merry</LOC>, <CARDINAL>13</CARDINAL>.",Lhuillier,", fab. de cartes en feuilles",", fab. de cartes en feuilles",Nve-St- Merry,13,1,1,1,1,0.40257,POINT (652506.5 6862344)
1854,Didot_1854a,181,v2:2022-06-20,8330046,"Dauvois (Ch.), papiers et cartes en gros, Petit-
Lion, 23.","<PER>Dauvois (Ch.),</PER> <ACT>papiers et cartes en gros</ACT><LOC>, Petit- Lion</LOC>, <CARDINAL>23</CARDINAL>.","Dauvois (Ch.),",papiers et cartes en gros,papiers et cartes en gros,", Petit- Lion",23,1,1,1,1,0.5264,POINT (652203.1 6862934)
1864,DidotBottin_1864a,333,v2:2022-06-20,8330216,"Galerie des plans et rebiefs, aux Invalides.","<ACT>Galerie des plans et rebiefs</ACT>, <LOC>aux Invalides</LOC>.",NA,Galerie des plans et rebiefs,Galerie des plans et rebiefs,aux Invalides,NA,1,0,1,0,"NA",POINT EMPTY
1908,DidotBottin_1908a,264,v2:2022-06-20,8336182,"Debenne, papters et cartes, Faub.-St-Martin,
ITD-
B","<PER>Debenne</PER><ACT>, papters et cartes</ACT>, <LOC>Faub.-St-Martin</LOC>, <CARDINAL>IT</CARDINAL>D- B",Debenne,", papters et cartes",", papters et cartes",Faub.-St-Martin,IT,1,1,1,1,"NA",POINT EMPTY
1908,DidotBottin_1908a,708,v2:2022-06-20,8342507,"Pussey (H.), cartes a jouer, r. de la Banque,
20. (2)
—TĚLĚPH 283.21.","<PER>Pussey (H.),</PER> <ACT>cartes a jouer</ACT>, <LOC>r. de la Banque</LOC>, <CARDINAL>20</CARDINAL>. (2) —TĚLĚPH 283.21.","Pussey (H.),",cartes a jouer,cartes a jouer,r. de la Banque,20,1,1,1,1,"NA",POINT EMPTY
1908,DidotBottin_1908a,708,v2:2022-06-20,8342519,"Puthon (F.). cartes-postates utustrees, boul.
Voltaire, 117. (ífo","<PER>Puthon (F.).</PER> <ACT>cartes-postates utustrees</ACT>, <LOC>boul. Voltaire</LOC>, <CARDINAL>117</CARDINAL>. (ífo",Puthon (F.).,cartes-postates utustrees,cartes-postates utustrees,boul. Voltaire,117,1,1,1,1,"NA",POINT EMPTY
1904,DidotBottin_1904a,23,v2:2022-06-20,8343003,"lettres et cartes télé-
65.
grammes,","<ACT>lettres et cartes télé- 65</ACT><LOC>. grammes</LOC>,",NA,lettres et cartes télé- 65,lettres et cartes tele- 65,. grammes,NA,1,0,1,0,0.138908,POINT (652299.6 6860358)
1884,DidotBottin_1884a,277,v2:2022-06-20,8343607,"Challamel aîné NC., librairie générale, dépôt
des cartes et publications officielles de la ma-
rine et de la querre, Jacob, 5.","<PER>Challamel aîné</PER> <TITRE>NC</TITRE>.<ACT>, librairie générale, dépôt des cartes et publications officielles de la ma- rine et de la querre</ACT>, <LOC>Jacob</LOC>, <CARDINAL>5</CARDINAL>.",Challamel aîné,", librairie générale, dépôt des cartes et publications officielles de la ma- rine et de la querre",", librairie generale, depot des cartes et publications officielles de la ma- rine et de la querre",Jacob,5,1,1,1,1,1,POINT (651285.5 6861833)
1847,Didot_1847,610,v2:2022-06-20,8344185,"Vernert, fab. de globes et garde-vue en cristal,
Tiquetonne, 18.","<PER>Vernert</PER><ACT>, fab. de globes et garde-vue en cristal</ACT><LOC>, Tiquetonne</LOC>, <CARDINAL>18</CARDINAL>.",Vernert,", fab. de globes et garde-vue en cristal",", fab. de globes et garde-vue en cristal",", Tiquetonne",18,1,1,1,1,0.2052,POINT (651907.4 6862342)
1856,Didot_1856a,238,v2:2022-06-20,8345860,"Boyer, colleur de cartes géograph., Pierre-
Sarrazin, 7.","<PER>Boyer</PER><ACT>, colleur de cartes géograph.</ACT>, <LOC>Pierre- Sarrazin</LOC>, <CARDINAL>7</CARDINAL>.",Boyer,", colleur de cartes géograph.",", colleur de cartes geograph.",Pierre- Sarrazin,7,1,1,1,1,0.270351,POINT (653838.6 6863164)
1861,DidotBottin_1861a,212,v2:2022-06-20,8346295,"Daussy, employé au dépôt des cartes et plans
de la marine, Vaugirard, 57.","<PER>Daussy</PER><ACT>, employé au dépôt des cartes et plans de la marine</ACT><LOC>, Vaugirard</LOC>, <CARDINAL>57</CARDINAL>.",Daussy,", employé au dépôt des cartes et plans de la marine",", employe au depot des cartes et plans de la marine",", Vaugirard",57,1,1,1,1,1,POINT (650697.3 6861020)
1904,DidotBottin_1904a,711,v2:2022-06-20,8346717,"à Neuilly (Seine). (TÉLEPH. 561.17.
Rousseau (G.), cartes d'échantillons, r. Pelle-
port, 17 et 19. (20e)","<PER>à Neuilly (Seine).</PER> (<PER>TÉLE</PER><TITRE>PH</TITRE>. <TITRE>56</TITRE>1.17. <PER>Rousseau (G.),</PER> <ACT>cartes d</ACT>'<ACT>échantillons</ACT>, <LOC>r. Pelle- port</LOC>, <CARDINAL>17</CARDINAL> et <CARDINAL>19</CARDINAL>. (20e)","c(""à Neuilly (Seine)."", ""TÉLE"", ""Rousseau (G.),"")","c(""cartes d"", ""échantillons"")","c(""cartes d"", ""echantillons"")",r. Pelle- port,"c(""17"", ""19"")",2,3,1,2,0.828,POINT (656311.6 6862709)
1879,DidotBottin_1879,377,v2:2022-06-20,8349656,"TOSSPHI (E.) (E. Bertaux successeur), globes
et cartes géographiques, Serpente, 25.","<PER>TOSSPHI (E.) (E. Bertaux successeur),</PER> <ACT>globes et cartes géographiques</ACT><LOC>, Serpente</LOC>, <CARDINAL>25</CARDINAL>.","TOSSPHI (E.) (E. Bertaux successeur),",globes et cartes géographiques,globes et cartes geographiques,", Serpente",25,1,1,1,1,1,POINT (651717.4 6861557)
1848,Didot_1848a,621,v2:2022-06-20,8350234,"Rabé aîné, fab. de ballons, jeux en merisier et
cartes géograph. découpées, Beaubourg, 43.","<PER>Rabé aîné</PER><ACT>, fab. de ballons, jeux en merisier et cartes géograph. découpées</ACT><LOC>, Beaubourg</LOC>, <CARDINAL>43</CARDINAL>.",Rabé aîné,", fab. de ballons, jeux en merisier et cartes géograph. découpées",", fab. de ballons, jeux en merisier et cartes geograph. decoupees",", Beaubourg",43,1,1,1,1,1,POINT (652597 6862665)
1848,Didot_1848a,621,v2:2022-06-20,8350235,"Rabé, jeux en merisier et cartes lithographi-
ques découpées, Michel-le-Comte, 23.","<PER>Rabé</PER><ACT>, jeux en merisier et cartes lithographi- ques découpées</ACT><LOC>, Michel-le-Comte</LOC>, <CARDINAL>23</CARDINAL>.",Rabé,", jeux en merisier et cartes lithographi- ques découpées",", jeux en merisier et cartes lithographi- ques decoupees",", Michel-le-Comte",23,1,1,1,1,"NA",POINT EMPTY
1902,DidotBottin_1902a,354,v2:2022-06-20,8358703,"Barathon et Gumery (F. Gumery succ.), pa-
piers et cartes en gros, r. des Blancs-Man-
LeR
5.","<PER>Barathon et Gumery (F. Gumery succ.),</PER> <ACT>pa- piers et cartes en gros</ACT>, <LOC>r. des Blancs-Man- LeR</LOC> <CARDINAL>5</CARDINAL>.","Barathon et Gumery (F. Gumery succ.),",pa- piers et cartes en gros,pa- piers et cartes en gros,r. des Blancs-Man- LeR,5,1,1,1,1,"NA",POINT EMPTY
1878,DidotBottin_1878,123,v2:2022-06-20,8371592,"Andriveau-Goujon (E.) NC., cartes geogra-
PRiqucs, Bac, 4.","<PER>Andriveau-Goujon (E.)</PER> <TITRE>NC.</TITRE><ACT>, cartes geogra- PRiqucs</ACT>, <LOC>Bac</LOC>, <CARDINAL>4</CARDINAL>.",Andriveau-Goujon (E.),", cartes geogra- PRiqucs",", cartes geogra- PRiqucs",Bac,4,1,1,1,1,1,POINT (650761.2 6862342)
1907,DidotBottin_1907c,575,v2:2022-06-20,8372243,"Madignie (M.), cartes en feuilles, r. de Lan-
5%
neau, 8.","<PER>Madignie (M.),</PER> <ACT>cartes en feuilles</ACT>, <LOC>r. de Lan- 5% neau</LOC>, <CARDINAL>8</CARDINAL>.","Madignie (M.),",cartes en feuilles,cartes en feuilles,r. de Lan- 5% neau,8,1,1,1,1,"NA",POINT EMPTY
1853,Didot_1853a,290,v2:2022-06-20,8376259,"Langlois (H.), éditeur de cartes géographi-
ques, Mazarine, 32.","<PER>Langlois (H.),</PER> <ACT>éditeur de cartes géographi- ques</ACT><LOC>, Mazarine</LOC>, <CARDINAL>32</CARDINAL>.","Langlois (H.),",éditeur de cartes géographi- ques,editeur de cartes geographi- ques,", Mazarine",32,1,1,1,1,1,POINT (651387 6861935)
1860,DidotBottin_1860a,302,v2:2022-06-20,8379194,"Hoock-Bauerkeller, cartes géographiques en
relief, Vendôme, 24.","<PER>Hoock-Bauerkeller</PER><ACT>, cartes géographiques en relief</ACT><LOC>, Vendôme</LOC>, <CARDINAL>24</CARDINAL>.",Hoock-Bauerkeller,", cartes géographiques en relief",", cartes geographiques en relief",", Vendôme",24,1,1,1,1,0.92,POINT (650863.6 6863295)
1874,DidotBottin_1874a,397,v2:2022-06-20,8385587,"Lanée, éditeur de cartes géographiques, Paix,
8","<PER>Lanée</PER><ACT>, éditeur de cartes géographiques</ACT>, <LOC>Paix</LOC>, <CARDINAL>8</CARDINAL>",Lanée,", éditeur de cartes géographiques",", editeur de cartes geographiques",Paix,8,1,1,1,1,1,POINT (650921.9 6863402)
1875,DidotBottin_1875,191,v2:2022-06-20,8386735,"Boyer, colteur de cartes géographiques, Pierre-
Sarrazin, 7.","<PER>Boyer</PER><ACT>, colteur de cartes géographiques</ACT><LOC>, Pierre- Sarrazin</LOC>, <CARDINAL>7</CARDINAL>.",Boyer,", colteur de cartes géographiques",", colteur de cartes geographiques",", Pierre- Sarrazin",7,1,1,1,1,0.270351,POINT (653838.6 6863164)
1838,Bottin1_1838,76,v2:2022-06-20,8390830,"Cabany (St-Maurice), papiers, cartes, cartonnages
c ayons, cirages, encre, nécessaires, presses à copier
papiers et chapeaux de fantaisie, sacs de dames, Ste
Avoye, 57.","<PER>Cabany (St-Maurice),</PER> <ACT>papiers, cartes, cartonnages c ayons, cirages, encre, nécessaires, presses à copier papiers et chapeaux de fantaisie, sacs de dames</ACT>, <LOC>Ste Avoye</LOC>, <CARDINAL>57</CARDINAL>.","Cabany (St-Maurice),","papiers, cartes, cartonnages c ayons, cirages, encre, nécessaires, presses à copier papiers et chapeaux de fantaisie, sacs de dames","papiers, cartes, cartonnages c ayons, cirages, encre, necessaires, presses a copier papiers et chapeaux de fantaisie, sacs de dames",Ste Avoye,57,1,1,1,1,0,POINT EMPTY
1853,Didot_1853a,84,v2:2022-06-20,8394004,"Andriveau-Goujon, cartes géograph., Bac,21.","<PER>Andriveau-Goujon</PER><ACT>, cartes géograph.</ACT>, <LOC>Bac</LOC>,<CARDINAL>21</CARDINAL>.",Andriveau-Goujon,", cartes géograph.",", cartes geograph.",Bac,21,1,1,1,1,1,POINT (650714.5 6862206)
1853,Didot_1853a,84,v2:2022-06-20,8394005,"Andrivon, papeterie, cartonnages et cartes
en feuilles, St-Denis, 354.","<PER>Andrivon</PER><ACT>, papeterie, cartonnages et cartes en feuilles</ACT>, <LOC>St-Denis</LOC>, <CARDINAL>35</CARDINAL>4.",Andrivon,", papeterie, cartonnages et cartes en feuilles",", papeterie, cartonnages et cartes en feuilles",St-Denis,35,1,1,1,1,0.23,POINT (653025.1 6865099)
1853,Didot_1853a,84,v2:2022-06-20,8394057,"—
Angliviel *, biblioth. du dépôt général des
cartes et plans des colonies et de la marine,
Vaugirard, 28.","— <PER>Angliviel</PER> <TITRE>*</TITRE><ACT>, biblioth. du dépôt général des cartes et plans des colonies et de la marine</ACT><LOC>, Vaugirard</LOC>, <CARDINAL>28</CARDINAL>.",Angliviel,", biblioth. du dépôt général des cartes et plans des colonies et de la marine",", biblioth. du depot general des cartes et plans des colonies et de la marine",", Vaugirard",28,1,1,1,1,1,POINT (651328.5 6861243)
1876,DidotBottin_1876,300,v2:2022-06-20,8397229,"Fournié (E.) et Delancret, fabr. de cartes en
feuilles, boul. de la Villette, 95.","<PER>Fournié (E.) et Delancre</PER>t<ACT>, fabr. de cartes en feuilles</ACT>, <LOC>boul. de la Villette</LOC>, <CARDINAL>95</CARDINAL>.",Fournié (E.) et Delancre,", fabr. de cartes en feuilles",", fabr. de cartes en feuilles",boul. de la Villette,95,1,1,1,1,"NA",POINT EMPTY
1890,DidotBottin_1890c,300,v2:2022-06-20,8398531,"'almier, fabr, ae cartes a jouer pour en
funts. Ramponneau. 31.","<PER>'almier</PER><ACT>, fabr, ae cartes a jouer pour en funts</ACT><LOC>. Ramponneau</LOC>. <CARDINAL>31</CARDINAL>.",'almier,", fabr, ae cartes a jouer pour en funts",", fabr, ae cartes a jouer pour en funts",. Ramponneau,31,1,1,1,1,0.3074,POINT (651947 6862965)
1896,DidotBottin_1896a,647,v2:2022-06-20,8403034,"Milot jeune
NC. fabr. de cartons et cartes en
feuilles à la mécanique, r. Petit. 71. 86 et
88; dépát : r. Si-Martin, 243. TĚLÉPH","<PER>Milot jeune</PER> <TITRE>N</TITRE><PER>C</PER><ACT>. fabr. de cartons et cartes en feuilles à la mécanique</ACT>, <LOC>r. Petit</LOC>. <CARDINAL>71</CARDINAL>. <CARDINAL>86</CARDINAL> et <CARDINAL>88</CARDINAL>; dépát : <LOC>r. Si-Martin</LOC>, <CARDINAL>24</CARDINAL>3. TĚLÉPH","c(""Milot jeune"", ""C"")",. fabr. de cartons et cartes en feuilles à la mécanique,. fabr. de cartons et cartes en feuilles a la mecanique,"c(""r. Petit"", ""r. Si-Martin"")","c(""71"", ""86"", ""88"", ""24"")",1,2,2,4,"0.4489, 0.139308","MULTIPOINT ((-6227008 6403708), (655250.5 6865285))"
1816,Panckoucke_hab_1816,428,v2:2022-06-20,8405364,"MARINE (dépôt général des cartes plans et archives de la),
r. Louis-le-Grand. 21.","<PER>MARINE</PER> <ACT>(dépôt général des cartes plans et archives de la),</ACT> <LOC>r. Louis-le-Grand</LOC>. <CARDINAL>21</CARDINAL>.",MARINE,"(dépôt général des cartes plans et archives de la),","(depot general des cartes plans et archives de la),",r. Louis-le-Grand,21,1,1,1,1,"NA",POINT EMPTY
1874,DidotBottin_1874a,604,v2:2022-06-20,8407993,"2.
Vuillemn, cartes géographiques; ardunne
20.","2. <PER>Vuillemn</PER><ACT>, cartes géographiques</ACT>; <LOC>ardun</LOC>ne <CARDINAL>20</CARDINAL>.",Vuillemn,", cartes géographiques",", cartes geographiques",ardun,20,1,1,1,1,0.69888,POINT (652537.1 6861114)
1871,DidotBottin_1871,171,v2:2022-06-20,8409081,"Bulla frères, édtteurs d'estampes et cartes
geodrapkiques, Tiquetonne, 66.","<PER>Bulla frères</PER><ACT>, édtteurs d'estampes et cartes geodrapkiques</ACT>, <LOC>Tiquetonne</LOC>, <CARDINAL>66</CARDINAL>.",Bulla frères,", édtteurs d'estampes et cartes geodrapkiques",", edtteurs d'estampes et cartes geodrapkiques",Tiquetonne,66,1,1,1,1,0.2052,POINT (654083.5 6862628)
1875,DidotBottin_1875,216,v2:2022-06-20,8412642,"Champon, cartes à la minute, passage Véro-
Dodat, 12.","<PER>Champon</PER>, <ACT>cartes à la minute</ACT>, <LOC>passage Véro- Dodat</LOC>, <CARDINAL>12</CARDINAL>.",Champon,cartes à la minute,cartes a la minute,passage Véro- Dodat,12,1,1,1,1,0.95,POINT (651609.7 6862732)
1841,Cambon_almgene_1841,364,v2:2022-06-20,8413766,"Salarnier, plan. c. Lamoignon, 27 .","<PER>Salarnier</PER>, <ACT>plan.</ACT> <LOC>c. Lamoignon</LOC>, <CARDINAL>27</CARDINAL> .",Salarnier,plan.,plan.,c. Lamoignon,27,1,1,1,1,0.36936,POINT (651879.8 6862012)
1875,DidotBottin_1875,375,v2:2022-06-20,8414097,"Hutinet (D.), papiers et cartes en gros, Gre-
neta, 43.","<PER>Hutinet (D.),</PER> <ACT>papiers et cartes en gros</ACT><LOC>, Gre- neta</LOC>, <CARDINAL>43</CARDINAL>.","Hutinet (D.),",papiers et cartes en gros,papiers et cartes en gros,", Gre- neta",43,1,1,1,1,0.63756,POINT (648541.1 6863048)
1887,DidotBottin_1887a,456,v2:2022-06-20,8416606,"odeau (E.) (E. et G. Durandireres, successeur
papiers de fantaisie, dentelles, imageri
cartes de table-menu, quai Jemmapes, 86.","<PER>odeau (E.) (E. et G. Durandireres, successeur</PER> <ACT>papiers de fantaisie, dentelles, imageri cartes de table-menu</ACT>, <LOC>quai Jemmapes</LOC>, <CARDINAL>86</CARDINAL>.","odeau (E.) (E. et G. Durandireres, successeur","papiers de fantaisie, dentelles, imageri cartes de table-menu","papiers de fantaisie, dentelles, imageri cartes de table-menu",quai Jemmapes,86,1,1,1,1,0.7719,POINT (653412.9 6863796)
1883,DidotBottin_1883a,726,v2:2022-06-20,8422207,"Zanders (J. W.), fabr. de cartes en feuillès,
Faub.-St-Denis, 48.","<PER>Zanders (J. W.),</PER> <ACT>fabr. de cartes en feuillès</ACT>, <LOC>Faub.-St-Denis</LOC>, <CARDINAL>48</CARDINAL>.","Zanders (J. W.),",fabr. de cartes en feuillès,fabr. de cartes en feuilles,Faub.-St-Denis,48,1,1,1,1,"NA",POINT EMPTY
1899,DidotBottin_1899a,642,v2:2022-06-20,8436815,"La Chassagne, oce
plany
banquier, cité Vaneau, 10.
Lachassagne (G.), tapissier, villa Du
St-Jacques, 261.
ng Pe","<PER>La Chassagne</PER><ACT>, oce plany banquier</ACT>, <LOC>cité Vaneau</LOC>, <CARDINAL>10</CARDINAL>. <PER>Lachassagne (G.),</PER> <ACT>tapissier</ACT>, <LOC>villa Du St-Jacques</LOC>, <CARDINAL>26</CARDINAL>1. ng Pe","c(""La Chassagne"", ""Lachassagne (G.),"")","c("", oce plany banquier"", ""tapissier"")","c("", oce plany banquier"", ""tapissier"")","c(""cité Vaneau"", ""villa Du St-Jacques"")","c(""10"", ""26"")",2,2,2,2,"NA, NA",POINT (652205.2 6861343)
1873,DidotBottin_1873,526,v2:2022-06-20,8438762,"Robillard, labr. de cartes en fcuilles, Buisson
SLOuIS","<PER>Robillard</PER><ACT>, labr. de cartes en fcuilles</ACT>, <LOC>Buisson SLOuIS</LOC>",Robillard,", labr. de cartes en fcuilles",", labr. de cartes en fcuilles",Buisson SLOuIS,NA,1,1,1,0,0.57086,POINT (654129.2 6863838)
1903,DidotBottin_1903a,89,v2:2022-06-20,8439123,"Bellavoine (v et fils, fabr, de papier qua-
drille pour mise en carte de dessins Jac-
quard, Faub. St-Denis, 142. (fo-","<PER>Bellavoine (v et fils</PER><ACT>, fabr, de papier qua- drille pour mise en carte de dessins Jac- quard</ACT>, <LOC>Faub. St-Denis</LOC>, <CARDINAL>142.</CARDINAL> (fo-",Bellavoine (v et fils,", fabr, de papier qua- drille pour mise en carte de dessins Jac- quard",", fabr, de papier qua- drille pour mise en carte de dessins Jac- quard",Faub. St-Denis,142.,1,1,1,1,"NA",POINT EMPTY
1875,DidotBottin_1875,126,v2:2022-06-20,8439788,"Agnus ainé, éditeur du plan de Paris omni-
bus, quai St-Michel, 13.","<PER>Agnus ainé</PER><ACT>, éditeur du plan de Paris omni- bus</ACT>, <LOC>quai St-Michel</LOC>, <CARDINAL>13</CARDINAL>.",Agnus ainé,", éditeur du plan de Paris omni- bus",", editeur du plan de Paris omni- bus",quai St-Michel,13,1,1,1,1,"NA",POINT EMPTY
1835,Panckoucke_hab_Dulac_1835,160,v2:2022-06-20,8439919,"in-8° de texte et 3 alasin-folio, renfermant 558 planches gravées
en taille-douce. — Un Mvis de 1830, précédé d'un Précis de la
révolution française de 1789 à 1830, un volume grand in-folio
renfermant. 30 scènes historiques lithographices par Victor
Adam, 20 portraits, et un plan on 12 feuilles des barricades,
onvrage dédié an roi des Français. (Le texte est en français et
en anglais.) — Confessions �'un homme de cour contemporain de
Louis XV, 5 vol. in-12, etc., etc.; — r. de la Huchette. 35.","<ACT>in-8° de texte et 3 alasin-folio, renfermant 558 planches gravées en taille-douce.</ACT> — Un <ACT>Mvis de 1830,</ACT> précédé <ACT>d'un Précis de la révolution française de 1789 à 1830, un volume grand in-folio renfermant</ACT>. <ACT>30 scènes historiques lithographices par Victor Adam, 20 portraits, et un plan on 12 feuilles des barricades, onvrage dédié an roi des Français. (Le texte est en français et en anglais</ACT>.) — <ACT>Confessions �'un homme de cour contemporain de Louis XV, 5 vol. in-12, etc., etc.</ACT>; — <LOC>r. de la Huchette</LOC>. <CARDINAL>35</CARDINAL>.",NA,"c(""in-8° de texte et 3 alasin-folio, renfermant 558 planches gravées en taille-douce."", ""Mvis de 1830,"", ""d'un Précis de la révolution française de 1789 à 1830, un volume grand in-folio renfermant"", ""30 scènes historiques lithographices par Victor Adam, 20 portraits, et un plan on 12 feuilles des barricades, onvrage dédié an roi des Français. (Le texte est en français et en anglais"", ""Confessions �'un homme de cour contemporain de Louis XV, 5 vol. in-12, etc., etc."")","c(""in-8° de texte et 3 alasin-folio, renfermant 558 planches gravees en taille-douce."", ""Mvis de 1830,"", ""d'un Precis de la revolution francaise de 1789 a 1830, un volume grand in-folio renfermant"", ""30 scenes historiques lithographices par Victor Adam, 20 portraits, et un plan on 12 feuilles des barricades, onvrage dedie an roi des Francais. (Le texte est en francais et en anglais"", ""Confessions �'un homme de cour contemporain de Louis XV, 5 vol. in-12, etc., etc."")",r. de la Huchette,35,5,0,1,1,"NA",POINT EMPTY
1864,DidotBottin_1864a,590,v2:2022-06-20,8443234,"Thomas (Brice), dessins et plans de voitures,
boul. Beanjon, 106.","<PER>Thomas (Brice),</PER> <ACT>dessins et plans de voitures</ACT>, <LOC>boul. Beanjon</LOC>, <CARDINAL>106</CARDINAL>.","Thomas (Brice),",dessins et plans de voitures,dessins et plans de voitures,boul. Beanjon,106,1,1,1,1,"NA",POINT EMPTY
1870,DidotBottin_1870a,621,v2:2022-06-20,8444851,"Vuillemin, cartes géographiques, Sorhoune","<PER>Vuillemin</PER><ACT>, cartes géographiques</ACT>, <LOC>Sorhoune</LOC>",Vuillemin,", cartes géographiques",", cartes geographiques",Sorhoune,NA,1,1,1,0,0.69,POINT (651808.3 6861262)
1892,DidotBottin_1892a,667,v2:2022-06-20,8446747,"Milot jeune (NCI, fabr. de cartons et cartes en
feuilles à la méranique, Petit, 71 et 86; dé-
pôts : rue St-Martin, 243, et rue Lafayette,
219.","<PER>Milot jeune (NCI,</PER> <ACT>fabr. de cartons et cartes en feuilles à la méranique</ACT><LOC>, Petit</LOC>, <CARDINAL>71</CARDINAL> et <CARDINAL>86</CARDINAL>; dé- pôts : <LOC>rue St-Martin</LOC>, <CARDINAL>24</CARDINAL>3, et <LOC>rue Lafayette</LOC>, <CARDINAL>219</CARDINAL>.","Milot jeune (NCI,",fabr. de cartons et cartes en feuilles à la méranique,fabr. de cartons et cartes en feuilles a la meranique,"c("", Petit"", ""rue St-Martin"", ""rue Lafayette"")","c(""71"", ""86"", ""24"", ""219"")",1,1,3,4,"0.6497, NA, 0.79","MULTIPOINT ((650998.4 6863303), (653242.1 6864694))"
1877,DidotBottin_1877,239,v2:2022-06-20,8447420,"Culih, mercarte, Bouchardon
TD","<PER>Culih</PER>, <ACT>mercarte</ACT>, <LOC>Bouchardon</LOC> TD",Culih,mercarte,mercarte,Bouchardon,NA,1,1,1,0,0.828,POINT (652891.2 6863619)
